app,mode,request,iterations_per_run,runs,trimmed_mean_ms,mean_ms,median_ms,p95_ms,peak_mem
azera,warm,"GET /",1000,12,0.0159738327,0.015982642416667,0.01502,0.02396,4194304
azera,warm,"GET /items",1000,12,0.1434589164,0.14344214625,0.135219,0.184976,4194304
azera,warm,"GET /items/1",1000,12,0.053045352,0.053477796833333,0.048715,0.07311,4194304
azera,warm,"POST /items",1000,12,0.1073824058,0.10755942075,0.100568,0.137651,4194304
azera,warm,"GET /items-qb",1000,12,0.0978816785,0.098345424333333,0.091409,0.127197,4194304
azera,warm,"GET /items-qb/1",1000,12,0.0521367954,0.052292540166667,0.047682,0.072601,4194304
azera,warm,"POST /items-qb",1000,12,0.0848646663,0.085353077833333,0.079978,0.109409,4194304
azera,warm,"GET /api/items",1000,12,0.0407260351,0.040871063333333,0.037586,0.056603,4194304
azera,warm,"GET /api/items/1",1000,12,0.036830052,0.0368784325,0.03443,0.050333,6291456
azera,warm,"POST /api/items",1000,12,0.0529415033,0.053102259,0.04895,0.073979,6291456
azera,warm,"GET /features/aop",1000,12,0.1949752455,0.19436429125,0.171739,0.263194,6291456
azera,warm,"GET /features/cache",1000,12,0.0141710933,0.01441012325,0.012849,0.021781,6291456
azera,warm,"GET /features/log",1000,12,0.0129826684,0.013028347916667,0.012283,0.018498,6291456
azera,warm,"GET /features/retry",1000,12,0.0099133526,0.010133769333333,0.009333,0.014648,6291456
azera,warm,"GET /features/pipeline",1000,12,0.014877875,0.01500504875,0.013759,0.021509,6291456
azera,warm,"GET /features/db-events",1000,12,0.199495414,0.19781932891667,0.178088,0.267419,6291456
azera,warm,"GET /features/events",1000,12,0.1910026627,0.19312250433333,0.178828,0.246034,6291456
azera,warm,"GET /features/validation",1000,12,0.0193172077,0.019444149333333,0.017781,0.028592,6291456
azera,warm,"GET /features/config",1000,12,0.0091700782,0.0091712654166667,0.008702,0.01201,8388608
azera,warm,"GET /features/request-scoped",1000,12,0.0087219982,0.0087837161666666,0.008322,0.011806,8388608
azera,warm,"GET /features/rate-limit",1000,12,0.0100671359,0.010076519,0.009341,0.014875,8388608
azera,cold,"GET /",1000,12,0.0170481275,0.017112513166667,0.015138,0.0257,4194304
azera,cold,"GET /items",1000,12,0.1484710584,0.14889588391667,0.13638,0.199385,6291456
azera,cold,"GET /items/1",1000,12,0.0552485613,0.05548437025,0.050377,0.075099,8388608
