app,mode,request,iterations_per_run,runs,trimmed_mean_ms,mean_ms,median_ms,p95_ms,peak_mem
azera,warm,"GET /",1000,12,0.0160015819,0.016007371666667,0.015005,0.023265,4194304
azera,warm,"GET /items",1000,12,0.1417417291,0.14172172233333,0.132813,0.182502,4194304
azera,warm,"GET /items/1",1000,12,0.0529255583,0.052954357083333,0.049179,0.071904,4194304
azera,warm,"POST /items",1000,12,0.1116738506,0.11474535541667,0.102494,0.149278,4194304
azera,warm,"GET /items-qb",1000,12,0.0974930721,0.097550095416667,0.090151,0.130366,4194304
azera,warm,"GET /items-qb/1",1000,12,0.0512133953,0.051260398083333,0.047698,0.067469,4194304
azera,warm,"POST /items-qb",1000,12,0.0852959582,0.0854793145,0.079162,0.113234,4194304
azera,warm,"GET /api/items",1000,12,0.0411512456,0.041179634666667,0.037723,0.057431,4194304
azera,warm,"GET /api/items/1",1000,12,0.0384347143,0.03866700275,0.035028,0.054109,6291456
azera,warm,"POST /api/items",1000,12,0.0540890705,0.054112105833333,0.049301,0.075399,6291456
azera,warm,"GET /features/aop",1000,12,0.1798217784,0.18411783958333,0.172006,0.25167,6291456
azera,warm,"GET /features/cache",1000,12,0.0138255239,0.013961727083333,0.013031,0.020181,6291456
azera,warm,"GET /features/log",1000,12,0.0131639222,0.013152872833333,0.012333,0.020904,6291456
azera,warm,"GET /features/retry",1000,12,0.0099892215,0.0100022785,0.009416,0.018357,6291456
azera,warm,"GET /features/pipeline",1000,12,0.0148474614,0.014866316833333,0.013746,0.020872,6291456
azera,warm,"GET /features/db-events",1000,12,0.2019153187,0.2018293765,0.182997,0.258253,6291456
azera,warm,"GET /features/events",1000,12,0.2014874475,0.20214157183333,0.173769,0.265912,6291456
azera,warm,"GET /features/validation",1000,12,0.0196223555,0.01992332425,0.017849,0.029584,6291456
azera,warm,"GET /features/config",1000,12,0.009245281,0.009265828,0.008713,0.012593,8388608
azera,warm,"GET /features/request-scoped",1000,12,0.00913348,0.0091767998333333,0.008526,0.017097,8388608
azera,warm,"GET /features/rate-limit",1000,12,0.0100531558,0.010375897333333,0.0094,0.018079,8388608
azera,cold,"GET /",1000,12,0.0165638989,0.016751115416667,0.015116,0.023753,4194304
azera,cold,"GET /items",1000,12,0.1459300565,0.14751124291667,0.134888,0.205159,6291456
azera,cold,"GET /items/1",1000,12,0.0542482757,0.05414828475,0.049063,0.075443,8388608
azera,cold,"POST /items",1000,12,0.1139778246,0.113913052,0.103824,0.155016,8388608
azera,cold,"GET /items-qb",1000,12,0.0995399916,0.099811853,0.092109,0.135686,8388608
azera,cold,"GET /items-qb/1",1000,12,0.053068053,0.053177055666667,0.048269,0.073604,8388608
azera,cold,"POST /items-qb",1000,12,0.0909959573,0.0909331135,0.08245,0.123152,8388608
azera,cold,"GET /api/items",1000,12,0.043169254,0.0432390585,0.038506,0.061845,8388608
azera,cold,"GET /api/items/1",1000,12,0.0382593478,0.038474005166667,0.035169,0.054751,8388608
azera,cold,"POST /api/items",1000,12,0.0549104495,0.05493230925,0.049887,0.076249,8388608
azera,cold,"GET /features/aop",1000,12,0.1950706358,0.201822309,0.17251,0.275388,8388608
azera,cold,"GET /features/cache",1000,12,0.0652727184,0.065612206,0.012982,0.019684,8388608
azera,cold,"GET /features/log",1000,12,0.0138865165,0.014178032,0.012606,0.019111,8388608
azera,cold,"GET /features/retry",1000,12,0.0101617726,0.010176261916667,0.009431,0.013852,8388608
azera,cold,"GET /features/pipeline",1000,12,0.01476045,0.014885360583333,0.013979,0.020613,8388608
azera,cold,"GET /features/db-events",1000,12,0.2530454384,0.25448856116667,0.179027,0.281255,8388608
azera,cold,"GET /features/events",1000,12,0.1973829062,0.19741472708333,0.177644,0.256343,8388608
azera,cold,"GET /features/validation",1000,12,0.0197410888,0.019833463083333,0.018173,0.029521,8388608
azera,cold,"GET /features/config",1000,12,0.009259513,0.0093810623333333,0.008831,0.012686,8388608
azera,cold,"GET /features/request-scoped",1000,12,0.0092723792,0.00926829625,0.008517,0.013055,8388608
azera,cold,"GET /features/rate-limit",1000,12,0.01018529,0.010294109,0.009485,0.01474,8388608
laravel,warm,"GET /",1000,12,0.2204146612,0.22039690558333,0.210192,0.279087,6291456
laravel,warm,"GET /items",1000,12,0.7677292567,0.76761560758333,0.742776,0.967165,8388608
laravel,warm,"GET /items/1",1000,12,0.4019262663,0.40266820575,0.386246,0.524959,8388608
laravel,warm,"POST /items",1000,12,0.4323850377,0.43266018941667,0.416284,0.560348,10485760
laravel,warm,"GET /items-qb",1000,12,0.4468397441,0.44686597408333,0.430733,0.566449,10485760
laravel,warm,"GET /items-qb/1",1000,12,0.3214844606,0.3218227565,0.307264,0.427503,10485760
laravel,warm,"POST /items-qb",1000,12,0.4116236137,0.41115808766667,0.398132,0.512835,10485760
laravel,warm,"GET /api/items",1000,12,0.6408488547,0.64089149833333,0.617879,0.813747,10485760
laravel,warm,"GET /api/items/1",1000,12,0.4174434308,0.41768634733333,0.402219,0.532679,10485760
laravel,warm,"POST /api/items",1000,12,0.3703153486,0.371886183,0.35396,0.502011,10485760
laravel,warm,"GET /features/aop",1000,12,0.3280461872,0.32811542508333,0.303426,0.432211,12582912
laravel,warm,"GET /features/cache",1000,12,0.257151522,0.25799143433333,0.245588,0.340511,12582912
laravel,warm,"GET /features/log",1000,12,0.2337508959,0.23376911066667,0.22278,0.30717,12582912
laravel,warm,"GET /features/retry",1000,12,0.2397788458,0.23980084725,0.22967,0.304765,12582912
laravel,warm,"GET /features/pipeline",1000,12,0.2323866573,0.23208321841667,0.22219,0.296486,12582912
laravel,warm,"GET /features/db-events",1000,12,0.42123073,0.42158514833333,0.395132,0.543888,14680064
laravel,warm,"GET /features/events",1000,12,0.3945162278,0.39531997783333,0.369593,0.515656,14680064
laravel,warm,"GET /features/validation",1000,12,0.8970924722,0.898515837,0.873011,1.08539,14680064
laravel,warm,"GET /features/config",1000,12,0.2346778158,0.23473262483333,0.225126,0.294456,14680064
laravel,warm,"GET /features/request-scoped",1000,12,0.2277537336,0.22797937983333,0.219137,0.282846,16777216
laravel,warm,"GET /features/rate-limit",1000,12,0.2584478912,0.2584462515,0.248574,0.323309,16777216
laravel,cold,"GET /",1000,12,0.2202100645,0.22063195758333,0.211047,0.281318,10485760
laravel,cold,"GET /items",1000,12,0.7538148881,0.75536447841667,0.729375,0.9307,16777216
laravel,cold,"GET /items/1",1000,12,0.389368822,0.38937207283333,0.375342,0.487931,20971520
laravel,cold,"POST /items",1000,12,0.424755344,0.42558324408333,0.409427,0.544366,25165824
laravel,cold,"GET /items-qb",1000,12,0.4542009176,0.46307618775,0.431923,0.684413,29360128
laravel,cold,"GET /items-qb/1",1000,12,0.3127898866,0.31240156966667,0.299552,0.400931,33554432
laravel,cold,"POST /items-qb",1000,12,0.4142274963,0.41463870608333,0.397864,0.542089,37748736
laravel,cold,"GET /api/items",1000,12,0.6330400837,0.63366144725,0.610978,0.785024,44040192
laravel,cold,"GET /api/items/1",1000,12,0.4142845947,0.41456302391667,0.399015,0.522946,50331648
laravel,cold,"POST /api/items",1000,12,0.3557958392,0.35659926891667,0.340716,0.463287,54525952
laravel,cold,"GET /features/aop",1000,12,0.3263093367,0.32563177716667,0.300908,0.424107,58720256
laravel,cold,"GET /features/cache",1000,12,0.3063829746,0.30629584283333,0.243254,0.325479,62914560
laravel,cold,"GET /features/log",1000,12,0.2280974101,0.22787157516667,0.21815,0.285358,67108864
laravel,cold,"GET /features/retry",1000,12,0.2367159011,0.23703239833333,0.226859,0.295985,73400320
laravel,cold,"GET /features/pipeline",1000,12,0.2334043309,0.23357296658333,0.223385,0.2961,77594624
laravel,cold,"GET /features/db-events",1000,12,0.4218744672,0.42274056425,0.397554,0.53331,81788928
laravel,cold,"GET /features/events",1000,12,0.3885891245,0.38845876383334,0.362978,0.503054,85983232
laravel,cold,"GET /features/validation",1000,12,0.9086109191,0.91162982325,0.879312,1.149793,92274688
laravel,cold,"GET /features/config",1000,12,0.2375982636,0.2371853005,0.226916,0.301683,96468992
laravel,cold,"GET /features/request-scoped",1000,12,0.2282848252,0.22848738908333,0.219527,0.283326,100663296
laravel,cold,"GET /features/rate-limit",1000,12,0.2639079928,0.26418728091667,0.252011,0.340378,106954752
