app,mode,request,iterations_per_run,runs,trimmed_mean_ms,mean_ms,median_ms,p95_ms,peak_mem
azera,warm,"GET /",1000,5,0.016065962666667,0.0165200946,0.014782,0.023975,2097152
azera,warm,"GET /items",1000,5,0.106232251,0.1061511306,0.100607,0.133656,8388608
azera,warm,"GET /items/1",1000,5,0.055318376666667,0.0554722942,0.050145,0.07596,10485760
azera,warm,"POST /items",1000,5,0.31101833933333,0.3182125602,0.285748,0.415436,14680064
azera,warm,"GET /items-qb",1000,5,0.095617531333333,0.095977755,0.088713,0.129561,18874368
azera,warm,"GET /items-qb/1",1000,5,0.050820809333333,0.050851954,0.04684,0.069515,20971520
azera,warm,"POST /items-qb",1000,5,0.190640831,0.1893907454,0.171751,0.246841,25165824
azera,warm,"GET /api/items",1000,5,0.054282784666667,0.054165603,0.049617,0.075696,27262976
azera,warm,"GET /api/items/1",1000,5,0.035898249666667,0.0363004398,0.034139,0.050725,31457280
azera,warm,"POST /api/items",1000,5,0.19925408433333,0.2004347216,0.192963,0.247871,35651584
azera,warm,"GET /features/aop",1000,5,0.18429602,0.1839420686,0.174481,0.224506,44040192
azera,warm,"GET /features/cache",1000,5,0.013575069333333,0.0137195486,0.012534,0.019426,44040192
azera,warm,"GET /features/log",1000,5,0.012458552666667,0.0124479628,0.012055,0.015294,44040192
azera,warm,"GET /features/retry",1000,5,0.0096343816666667,0.00965567,0.00913,0.012899,44040192
azera,warm,"GET /features/pipeline",1000,5,0.014095143,0.014068172,0.013563,0.018293,44040192
azera,warm,"GET /features/db-events",1000,5,0.19002501433333,0.1907109798,0.178407,0.259549,44040192
azera,warm,"GET /features/events",1000,5,0.20534127366667,0.2086940902,0.184959,0.333301,44040192
azera,warm,"GET /features/validation",1000,5,0.018507059666667,0.0185047542,0.017554,0.02629,44040192
azera,warm,"GET /features/config",1000,5,0.009009536,0.0094558826,0.00854,0.014121,44040192
azera,warm,"GET /features/request-scoped",1000,5,0.008242407,0.0083048712,0.008019,0.010835,44040192
azera,warm,"GET /features/rate-limit",1000,5,0.009536704,0.0095011038,0.008931,0.013737,44040192
azera,cold,"GET /",1000,5,0.015706338333333,0.0157456388,0.014814,0.022841,44040192
azera,cold,"GET /items",1000,5,0.108110967,0.108207269,0.099227,0.15318,44040192
azera,cold,"GET /items/1",1000,5,0.053271994333333,0.0529972246,0.049088,0.07107,46137344
azera,cold,"POST /items",1000,5,0.20056387933333,0.2262543524,0.196056,0.329083,46137344
azera,cold,"GET /items-qb",1000,5,0.097023605333333,0.0972092132,0.089496,0.12237,46137344
azera,cold,"GET /items-qb/1",1000,5,0.051603964666667,0.0516562724,0.046857,0.069382,46137344
azera,cold,"POST /items-qb",1000,5,0.19058061466667,0.1896834554,0.170695,0.245113,46137344
