app,mode,request,iterations_per_run,runs,trimmed_mean_ms,mean_ms,median_ms,p95_ms,peak_mem
azera,warm,"GET /",100,5,0.111064,0.1109012,0.0917,0.1905,6291456
azera,warm,"GET /items",100,5,0.39799866666667,0.3959928,0.352,0.5493,6291456
azera,warm,"GET /items/1",100,5,0.24784966666667,0.2505036,0.2205,0.3956,6291456
azera,warm,"POST /items",100,5,0.90605366666667,0.9104442,0.88,1.142,8388608
azera,warm,"GET /items-qb",100,5,0.365058,0.3660456,0.3247,0.5215,8388608
azera,warm,"GET /items-qb/1",100,5,0.31177933333333,0.3288618,0.2815,0.6051,8388608
azera,warm,"POST /items-qb",100,5,0.85222566666667,0.8579692,0.8287,1.063,8388608
azera,warm,"GET /api/items",100,5,0.16875666666667,0.1659202,0.1465,0.2645,10485760
azera,warm,"GET /api/items/1",100,5,0.122529,0.1248208,0.0995,0.2169,10485760
azera,warm,"POST /api/items",100,5,0.8949,0.9009162,0.8763,1.1032,10485760
azera,warm,"GET /features/aop",100,5,0.82567333333333,0.8208652,0.798,0.9675,12582912
azera,warm,"GET /features/cache",100,5,0.043973333333333,0.0463228,0.0382,0.0807,12582912
azera,warm,"GET /features/log",100,5,0.050306666666667,0.0507702,0.0469,0.0784,12582912
azera,warm,"GET /features/retry",100,5,0.037375666666667,0.0382596,0.0337,0.0521,12582912
azera,warm,"GET /features/pipeline",100,5,0.050234,0.0513176,0.0454,0.0794,12582912
azera,warm,"GET /features/db-events",100,5,0.889215,0.9146066,0.8457,1.1069,14680064
azera,warm,"GET /features/events",100,5,0.85550466666667,0.8562678,0.8047,0.9714,14680064
azera,warm,"GET /features/validation",100,5,0.069564333333333,0.072092,0.0596,0.1147,14680064
azera,warm,"GET /features/config",100,5,0.030986333333333,0.0344452,0.0274,0.0618,14680064
azera,warm,"GET /features/request-scoped",100,5,0.030657333333333,0.0332934,0.0264,0.0549,14680064
azera,warm,"GET /features/rate-limit",100,5,0.037665333333333,0.0395462,0.0302,0.0679,14680064
azera,cold,"GET /",100,5,0.14099166666667,0.1659576,0.1216,0.2546,14680064
azera,cold,"GET /items",100,5,0.424692,0.4268918,0.3641,0.6806,14680064
azera,cold,"GET /items/1",100,5,0.26726433333333,0.2693496,0.227,0.4403,14680064
azera,cold,"POST /items",100,5,0.90984266666667,0.9088472,0.8655,1.1449,14680064
azera,cold,"GET /items-qb",100,5,0.386199,0.3909062,0.3335,0.5887,14680064
azera,cold,"GET /items-qb/1",100,5,0.251611,0.2532348,0.2121,0.4099,14680064
azera,cold,"POST /items-qb",100,5,0.84113966666667,0.9082488,0.8274,1.1072,14680064
azera,cold,"GET /api/items",100,5,0.14903766666667,0.1503544,0.1259,0.2275,14680064
azera,cold,"GET /api/items/1",100,5,0.13968933333333,0.1401428,0.1123,0.268,14680064
azera,cold,"POST /api/items",100,5,0.89033566666667,0.893771,0.8661,1.058,14680064
azera,cold,"GET /features/aop",100,5,0.824628,0.8239618,0.7864,1.005,14680064
azera,cold,"GET /features/cache",100,5,0.60811866666667,0.6164794,0.0397,0.0779,14680064
azera,cold,"GET /features/log",100,5,0.045371333333333,0.0462464,0.041,0.0861,14680064
azera,cold,"GET /features/retry",100,5,0.041364,0.0437386,0.0397,0.0683,14680064
azera,cold,"GET /features/pipeline",100,5,0.064502333333333,0.0617762,0.0585,0.1017,14680064
azera,cold,"GET /features/db-events",100,5,1.4799026666667,1.482876,0.828,1.1842,14680064
azera,cold,"GET /features/events",100,5,0.82547433333333,0.830158,0.7988,1.0291,14680064
azera,cold,"GET /features/validation",100,5,0.074322666666667,0.0729408,0.0596,0.122,14680064
azera,cold,"GET /features/config",100,5,0.039013333333333,0.0398534,0.035,0.0568,14680064
azera,cold,"GET /features/request-scoped",100,5,0.036606,0.0386134,0.0319,0.0779,14680064
azera,cold,"GET /features/rate-limit",100,5,0.032388666666667,0.0333118,0.029,0.0544,14680064
spiral,warm,"GET /",100,5,1.6914443333333,1.7036336,1.509,2.521,27262976
spiral,warm,"GET /items",100,5,2.3595383333333,2.3657848,2.1294,3.5036,31457280
spiral,warm,"GET /items/1",100,5,1.5984716666667,1.6035368,1.4664,2.315,37748736
spiral,warm,"POST /items",100,5,2.0154123333333,2.0855744,1.7655,2.8537,41943040
spiral,warm,"GET /items-qb",100,5,1.886381,1.892146,1.6972,2.7466,41943040
spiral,warm,"GET /items-qb/1",100,5,1.947067,1.9567792,1.7234,2.9822,41943040
spiral,warm,"POST /items-qb",100,5,1.8155426666667,1.8374122,1.6635,2.7163,44040192
spiral,warm,"GET /api/items",100,5,1.4429563333333,1.4497466,1.3098,2.0985,46137344
spiral,warm,"GET /api/items/1",100,5,1.240037,1.2391944,1.114,1.8678,46137344
spiral,warm,"POST /api/items",100,5,1.3003603333333,1.2948302,1.1677,1.8235,46137344
spiral,warm,"GET /features/aop",100,5,2.8328523333333,2.8337358,2.6932,3.8887,48234496
spiral,warm,"GET /features/cache",100,5,1.3304473333333,1.3226202,1.166,1.9553,50331648
spiral,warm,"GET /features/log",100,5,1.247809,1.241959,1.1125,1.7719,50331648
spiral,warm,"GET /features/retry",100,5,2.1593646666667,2.1556348,1.9717,3.104,50331648
spiral,warm,"GET /features/pipeline",100,5,1.2789573333333,1.323146,1.1152,2.0421,50331648
spiral,warm,"GET /features/db-events",100,5,1.3119606666667,1.3421432,1.2087,1.9972,50331648
spiral,warm,"GET /features/events",100,5,3.0520716666667,3.0765332,2.8384,4.3233,50331648
spiral,warm,"GET /features/validation",100,5,1.3172356666667,1.3444576,1.2127,1.9859,50331648
spiral,warm,"GET /features/config",100,5,1.2441103333333,1.2467638,1.1203,1.8192,50331648
spiral,warm,"GET /features/request-scoped",100,5,1.316628,1.3687174,1.1385,2.0406,50331648
spiral,warm,"GET /features/rate-limit",100,5,1.378317,1.3966486,1.2796,2.0717,50331648
spiral,cold,"GET /",100,5,1.7719516666667,1.7667488,1.5468,2.4495,50331648
spiral,cold,"GET /items",100,5,2.4271473333333,2.4096552,2.1193,3.5242,50331648
spiral,cold,"GET /items/1",100,5,1.7245013333333,1.7185982,1.4416,2.5904,50331648
spiral,cold,"POST /items",100,5,2.028839,2.0408062,1.7541,2.8892,50331648
spiral,cold,"GET /items-qb",100,5,2.0701356666667,2.0502184,1.7552,2.8651,50331648
spiral,cold,"GET /items-qb/1",100,5,1.910817,1.910378,1.6755,2.7364,50331648
spiral,cold,"POST /items-qb",100,5,1.938404,1.9110692,1.6442,2.7438,50331648
spiral,cold,"GET /api/items",100,5,1.5711396666667,1.5774738,1.3554,2.5073,50331648
spiral,cold,"GET /api/items/1",100,5,1.295703,1.300541,1.1078,1.9635,50331648
spiral,cold,"POST /api/items",100,5,1.374095,1.4039886,1.1769,1.9308,50331648
spiral,cold,"GET /features/aop",100,5,2.8722573333333,2.8672,2.6439,3.7254,50331648
spiral,cold,"GET /features/cache",100,5,1.39536,1.4037398,1.1736,1.9612,52428800
spiral,cold,"GET /features/log",100,5,1.311408,1.2987606,1.0787,1.8904,52428800
spiral,cold,"GET /features/retry",100,5,2.267561,2.2342328,1.9533,3.1356,52428800
spiral,cold,"GET /features/pipeline",100,5,1.3794446666667,1.3916522,1.1442,2.0752,52428800
spiral,cold,"GET /features/db-events",100,5,1.3320576666667,1.4137694,1.2258,2.2039,52428800
spiral,cold,"GET /features/events",100,5,3.903349,3.9386664,3.8188,5.2661,52428800
spiral,cold,"GET /features/validation",100,5,1.7209453333333,1.725432,1.5423,2.6376,52428800
spiral,cold,"GET /features/config",100,5,1.628961,1.6153626,1.4481,2.4781,52428800
spiral,cold,"GET /features/request-scoped",100,5,1.5703343333333,1.5837912,1.5142,2.4031,52428800
spiral,cold,"GET /features/rate-limit",100,5,1.433769,1.5230238,1.3092,2.2061,52428800
