app,mode,request,iterations_per_run,runs,trimmed_mean_ms,mean_ms,median_ms,p95_ms,peak_mem
azera,warm,"GET /",1000,5,0.016364754666667,0.0162309862,0.014691,0.024311,2097152
azera,warm,"GET /items",1000,5,0.10842284766667,0.1081856946,0.10197,0.142046,8388608
azera,warm,"GET /items/1",1000,5,0.053103051666667,0.0532084688,0.049563,0.074638,10485760
azera,warm,"POST /items",1000,5,0.37269111433333,0.373637281,0.336907,0.500764,16777216
azera,warm,"GET /items-qb",1000,5,0.091907949,0.0921740202,0.087495,0.11338,20971520
azera,warm,"GET /items-qb/1",1000,5,0.050696411333333,0.0507560186,0.046747,0.069052,25165824
azera,warm,"POST /items-qb",1000,5,0.23127526566667,0.2314062116,0.221785,0.287768,31457280
azera,warm,"GET /api/items",1000,5,0.054366425,0.0546206366,0.050278,0.076397,33554432
azera,warm,"GET /api/items/1",1000,5,0.039408694666667,0.0390576014,0.034883,0.055983,35651584
azera,warm,"POST /api/items",1000,5,0.19305521766667,0.1935101172,0.188855,0.235143,39845888
azera,warm,"GET /features/aop",1000,5,0.184966841,0.1879120738,0.171984,0.242053,48234496
azera,warm,"GET /features/cache",1000,5,0.013448198333333,0.0133828962,0.012403,0.019952,50331648
azera,warm,"GET /features/log",1000,5,0.012484948333333,0.0124877824,0.012001,0.017994,50331648
azera,warm,"GET /features/retry",1000,5,0.0096672426666667,0.0097089202,0.009033,0.015548,50331648
azera,warm,"GET /features/pipeline",1000,5,0.014338759,0.0143485146,0.01352,0.020426,50331648
azera,warm,"GET /features/db-events",1000,5,0.19103404466667,0.1910145792,0.176403,0.244113,50331648
azera,warm,"GET /features/events",1000,5,0.19873602233333,0.1962670458,0.174911,0.264838,50331648
azera,warm,"GET /features/validation",1000,5,0.018099763333333,0.0180643888,0.01726,0.024299,50331648
azera,warm,"GET /features/config",1000,5,0.0088330656666667,0.0090342016,0.008317,0.013323,50331648
azera,warm,"GET /features/request-scoped",1000,5,0.0083652963333333,0.008409062,0.007947,0.012173,50331648
azera,warm,"GET /features/rate-limit",1000,5,0.0094152056666667,0.0094158782,0.008862,0.013534,50331648
azera,cold,"GET /",1000,5,0.016671497,0.016486226,0.014605,0.025392,4194304
azera,cold,"GET /items",1000,5,0.10801750366667,0.1096392946,0.101031,0.136186,8388608
azera,cold,"GET /items/1",1000,5,0.052266875,0.0530030784,0.04933,0.071268,12582912
azera,cold,"POST /items",1000,5,0.365011074,0.3733661158,0.340169,0.496393,18874368
azera,cold,"GET /items-qb",1000,5,0.093091429,0.0941437222,0.088172,0.117395,18874368
azera,cold,"GET /items-qb/1",1000,5,0.049709194333333,0.0497486964,0.046524,0.064072,18874368
azera,cold,"POST /items-qb",1000,5,0.244461695,0.24376406,0.221507,0.321078,23068672
azera,cold,"GET /api/items",1000,5,0.053390833666667,0.0533546528,0.050099,0.068931,25165824
