app,mode,request,iterations_per_run,runs,trimmed_mean_ms,handle_ms,cleanup_ms,min_ms,mean_ms,median_ms,p95_ms,peak_mem
azera,warm,"GET /",1000,30,0.016213146833333,0.015510864125,0.000702152125,0.010848,0.016327326266667,0.0152,0.023096,4194304
azera,warm,"GET /items",1000,30,0.13970671441667,0.13644410866667,0.0032317493333333,0.122288,0.1396093735,0.131057,0.175461,4194304
azera,warm,"GET /items/1",1000,30,0.051549829625,0.049929617625,0.0016194952916667,0.04273,0.051700371433334,0.048764,0.066426,4194304
azera,warm,"POST /items",1000,30,0.1057870255,0.10379861883333,0.0019874589166667,0.0941,0.1060926894,0.099325,0.136457,4194304
azera,warm,"GET /items-qb",1000,30,0.093364966583333,0.092179065416667,0.0011860316666667,0.083059,0.093567115533333,0.087756,0.119645,4194304
azera,warm,"GET /items-qb/1",1000,30,0.05033449475,0.0491404905,0.001194846375,0.03982,0.050525128733333,0.047431,0.066323,4194304
azera,warm,"POST /items-qb",1000,30,0.085376983875,0.0840909895,0.0012834692083333,0.074972,0.085589277166666,0.079672,0.112995,4194304
azera,warm,"GET /api/items",1000,30,0.040435992166667,0.039305714583333,0.0011306125,0.02953,0.040514083933334,0.037739,0.055212,4194304
azera,warm,"GET /api/items/1",1000,30,0.036497271291667,0.035072987875,0.0014243934166667,0.027028,0.036498582933333,0.034176,0.050342,4194304
azera,warm,"POST /api/items",1000,30,0.052206105375,0.050665394,0.0015414915416667,0.042334,0.0523409642,0.048865,0.06911,4194304
azera,warm,"GET /features/aop",1000,30,0.130033965875,0.1285906575,0.0014446215,0.044894,0.1300997105,0.12363,0.161962,4194304
azera,warm,"GET /features/cache",1000,30,0.0137220775,0.01289588375,0.00082666675,0.005022,0.013895915766667,0.012868,0.020302,4194304
azera,warm,"GET /features/log",1000,30,0.012832643958333,0.0120653415,0.00076821295833333,0.002402,0.012937775133333,0.012283,0.017828,4194304
azera,warm,"GET /features/retry",1000,30,0.0099628067916667,0.0092942419583333,0.00067034041666667,0,0.010010889766667,0.009554,0.013084,4194304
azera,warm,"GET /features/pipeline",1000,30,0.014428026583333,0.013724167875,0.00070536741666667,0.011486,0.0146156868,0.013713,0.020458,4194304
azera,warm,"GET /features/db-events",1000,30,0.041732785916667,0.04060776175,0.001125603125,0.032968,0.042041318166666,0.039184,0.057257,4194304
azera,warm,"GET /features/events",1000,30,0.039336772125,0.038233598875,0.0011019044166667,0.030946,0.039429661566667,0.036885,0.054901,4194304
azera,warm,"GET /features/validation",1000,30,0.01844546775,0.017822587625,0.00062316433333333,0.009766,0.0186587931,0.017354,0.027906,4194304
azera,warm,"GET /features/config",1000,30,0.00924897625,0.0086307788333333,0.000618851875,0.007633,0.0093553699666666,0.008917,0.012513,4194304
azera,warm,"GET /features/request-scoped",1000,30,0.0090532354583333,0.0085001115,0.00055251075,0.003872,0.009122693,0.008803,0.011559,4194304
azera,warm,"GET /features/rate-limit",1000,30,0.0097742130416667,0.0091390309583333,0.000623758,0.00518,0.0098608217666667,0.009252,0.013273,4194304
azera,cold,"GET /",1000,30,0.015837321583333,0.015135508583333,0.000686366625,0.01007,0.0159050279,0.015013,0.022236,4194304
azera,cold,"GET /items",1000,30,0.13676184679167,0.13342182329167,0.0033035143333333,0.12236,0.13754098086667,0.129518,0.166536,4194304
