app,mode,request,iterations_per_run,runs,trimmed_mean_ms,mean_ms,median_ms,p95_ms,peak_mem
azera,warm,"GET /",1000,12,0.0152239416,0.015277645666667,0.014538,0.021349,4194304
azera,warm,"GET /items",1000,12,0.1067562896,0.10698073058333,0.099249,0.137594,14680064
azera,warm,"GET /items/1",1000,12,0.0528998928,0.053019676166667,0.049567,0.069257,20971520
azera,warm,"POST /items",1000,12,0.3631565214,0.36354106491667,0.34207,0.469439,35651584
azera,warm,"GET /items-orm",1000,12,0.1172468787,0.11772682575,0.110826,0.146682,46137344
azera,warm,"GET /items-orm/1",1000,12,0.0427678368,0.042902806166667,0.039763,0.058295,52428800
azera,warm,"POST /items-orm",1000,12,0.2110888396,0.21108804225,0.203814,0.253459,73400320
azera,warm,"GET /items-qb",1000,12,0.093683723,0.09373047825,0.088284,0.119634,85983232
azera,warm,"GET /items-qb/1",1000,12,0.0499341643,0.049908067333333,0.046573,0.067162,90177536
azera,warm,"POST /items-qb",1000,12,0.2404660185,0.24126358575,0.220832,0.315929,104857600
azera,warm,"GET /api/items",1000,12,0.0540548893,0.054064268833333,0.049632,0.075711,111149056
azera,warm,"GET /api/items/1",1000,12,0.0363612968,0.036381263,0.034215,0.049987,117440512
azera,warm,"POST /api/items",1000,12,0.1956685961,0.19584111716667,0.188791,0.242115,125829120
azera,warm,"GET /features/aop",1000,12,0.1792823091,0.18243871475,0.170016,0.21699,132120576
azera,warm,"GET /features/cache",1000,12,0.0134588248,0.013513279583333,0.012592,0.019062,134217728
azera,warm,"GET /features/log",1000,12,0.0123569176,0.012352934083333,0.011925,0.015778,134217728
azera,warm,"GET /features/retry",1000,12,0.009641713,0.0096751555833333,0.009051,0.01302,134217728
azera,warm,"GET /features/pipeline",1000,12,0.014344532,0.014375003666667,0.013503,0.019994,134217728
azera,warm,"GET /features/db-events",1000,12,0.1793807039,0.17954967033333,0.173636,0.216264,134217728
azera,warm,"GET /features/events",1000,12,0.1841619974,0.18511136133333,0.174413,0.223813,134217728
azera,warm,"GET /features/validation",1000,12,0.0190760496,0.019111861666667,0.017595,0.028028,134217728
azera,warm,"GET /features/config",1000,12,0.0088148898,0.0088593565,0.00843,0.013062,134217728
azera,warm,"GET /features/request-scoped",1000,12,0.0085040192,0.00851486875,0.008006,0.012891,134217728
azera,warm,"GET /features/rate-limit",1000,12,0.0093198896,0.0093418476666667,0.008899,0.012723,134217728
symfony,warm,"GET /",1000,12,0.0874343702,0.087566047166667,0.082839,0.108503,4194304
symfony,warm,"GET /items",1000,12,0.5272999117,0.52817620366666,0.512497,0.635207,20971520
symfony,warm,"GET /items/1",1000,12,0.1671081247,0.16721486366667,0.156968,0.218592,27262976
symfony,warm,"POST /items",1000,12,0.3420701458,0.36654979566667,0.321321,0.51353,41943040
symfony,warm,"GET /items-orm",1000,12,0.041295427,0.041455212083333,0.038747,0.056271,44040192
symfony,warm,"GET /items-orm/1",1000,12,0.0406750292,0.040865858,0.038532,0.055249,44040192
symfony,warm,"POST /items-orm",1000,12,0.0406490219,0.04070703475,0.038117,0.055431,44040192
symfony,warm,"GET /items-qb",1000,12,0.2322181036,0.232252268,0.22212,0.290631,54525952
symfony,warm,"GET /items-qb/1",1000,12,0.1379342933,0.13786489225,0.129992,0.170511,58720256
symfony,warm,"POST /items-qb",1000,12,0.3290917076,0.32845098733333,0.316214,0.411455,71303168
symfony,warm,"GET /api/items",1000,12,0.227328217,0.227244226,0.217577,0.280942,79691776
symfony,warm,"GET /api/items/1",1000,12,0.1488695827,0.148628815,0.13992,0.188671,85983232
symfony,warm,"POST /api/items",1000,12,0.2784181878,0.27841753841667,0.268007,0.345358,100663296
symfony,warm,"GET /features/aop",1000,12,0.2621759629,0.26291286841667,0.247927,0.342812,106954752
symfony,warm,"GET /features/cache",1000,12,0.0843807626,0.084686316583333,0.079702,0.108344,106954752
symfony,warm,"GET /features/log",1000,12,0.0822900539,0.082316096083333,0.077053,0.10731,106954752
symfony,warm,"GET /features/retry",1000,12,0.8059478432,0.81012291458333,0.798662,1.486998,113246208
symfony,warm,"GET /features/pipeline",1000,12,0.0818701552,0.081854162,0.078153,0.099172,113246208
symfony,warm,"GET /features/db-events",1000,12,0.9466005573,0.94540665691666,0.943638,1.163545,113246208
symfony,warm,"GET /features/events",1000,12,0.3137837343,0.31438883558333,0.299031,0.411186,130023424
symfony,warm,"GET /features/validation",1000,12,0.1957548345,0.19567583308333,0.184288,0.247827,130023424
symfony,warm,"GET /features/config",1000,12,0.0823662058,0.082397976666667,0.078091,0.101967,132120576
symfony,warm,"GET /features/request-scoped",1000,12,0.477111777,0.47623248833333,0.47476,0.821891,132120576
symfony,warm,"GET /features/rate-limit",1000,12,0.0897955509,0.0900452895,0.084661,0.113258,132120576
