app,mode,request,iterations_per_run,runs,trimmed_mean_ms,handle_ms,cleanup_ms,min_ms,mean_ms,median_ms,p95_ms,peak_mem
azera,roadrunner,"GET /",1000,10,0.26736409,,,0.182329,0.2691403992,0.250706,0.371509,0
azera,roadrunner,"GET /items",1000,10,0.50073198275,,,0.334251,0.49723321,0.482297,0.654174,0
azera,roadrunner,"GET /items/1",1000,10,0.366696771875,,,0.22182,0.3671866291,0.352407,0.496256,0
azera,roadrunner,"POST /items",1000,10,0.4586728985,,,0.29847,0.4583375778,0.444984,0.599452,0
azera,roadrunner,"GET /items-qb",1000,10,0.443836335375,,,0.292249,0.4403911617,0.423098,0.581332,0
azera,roadrunner,"GET /items-qb/1",1000,10,0.379036306,,,0.215764,0.3801893756,0.365116,0.504004,0
azera,roadrunner,"POST /items-qb",1000,10,0.428095188,,,0.263372,0.4293178164,0.412393,0.562108,0
azera,roadrunner,"GET /api/items",1000,10,0.327966107625,,,0.204517,0.3250169945,0.310628,0.442427,0
azera,roadrunner,"GET /api/items/1",1000,10,0.31260210525,,,0.191798,0.3149514265,0.30374,0.429284,0
azera,roadrunner,"POST /api/items",1000,10,0.3189321635,,,0.219395,0.3183897496,0.303792,0.432199,0
azera,roadrunner,"GET /features/aop",1000,10,0.446877949375,,,0.290396,0.4665788029,0.438058,0.689125,0
azera,roadrunner,"GET /features/cache",1000,10,0.241659035125,,,0.166377,0.241842065,0.229079,0.323941,0
azera,roadrunner,"GET /features/log",1000,10,0.25505437125,,,0.168543,0.2559533161,0.239264,0.344997,0
azera,roadrunner,"GET /features/retry",1000,10,0.246628934,,,0.172216,0.247413525,0.232566,0.333459,0
azera,roadrunner,"GET /features/pipeline",1000,10,0.25333752775,,,0.177686,0.2536645029,0.238428,0.342337,0
azera,roadrunner,"GET /features/db-events",1000,10,0.36592989125,,,0.225877,0.3646400786,0.346398,0.481092,0
azera,roadrunner,"GET /features/events",1000,10,0.326628043375,,,0.212474,0.3255779591,0.314145,0.43493,0
azera,roadrunner,"GET /features/validation",1000,10,0.27700553775,,,0.195336,0.2782975473,0.266238,0.371957,0
azera,roadrunner,"GET /features/config",1000,10,0.242468837125,,,0.1527,0.2424251621,0.229799,0.323083,0
azera,roadrunner,"GET /features/request-scoped",1000,10,0.236115488,,,0.160958,0.2357927009,0.222746,0.317501,0
azera,roadrunner,"GET /features/rate-limit",1000,10,0.23346737675,,,0.159724,0.2339494383,0.222254,0.308157,0
azera,php-fpm,"GET /",1000,10,0.821416470625,,,0.660176,0.8218183031,0.795605,1.038248,0
azera,php-fpm,"GET /items",1000,10,1.57750486525,,,1.388766,1.5769600144,1.539993,1.832678,0
azera,php-fpm,"GET /items/1",1000,10,1.44309162125,,,1.281713,1.444402295,1.414331,1.671007,0
azera,php-fpm,"POST /items",1000,10,1.635664252,,,1.448889,1.6361329216,1.589136,1.900909,0
azera,php-fpm,"GET /items-qb",1000,10,1.399563812,,,1.241102,1.3990277289,1.365109,1.638122,0
azera,php-fpm,"GET /items-qb/1",1000,10,1.3485998515,,,1.18729,1.34834166,1.318949,1.574896,0
azera,php-fpm,"POST /items-qb",1000,10,1.460601270875,,,1.284128,1.4616898014,1.413422,1.682849,0
