app,mode,request,iterations_per_run,runs,trimmed_mean_ms,mean_ms,median_ms,p95_ms,peak_mem
azera,warm,"GET /",100,3,0.097655,0.094288,0.0859,0.1305,4194304
azera,warm,"GET /items",100,3,0.393912,0.40785466666667,0.3515,0.5987,6291456
azera,warm,"GET /items/1",100,3,0.241995,0.237114,0.2045,0.3447,6291456
azera,warm,"POST /items",100,3,2.801047,2.8101213333333,2.6378,4.4837,8388608
azera,warm,"GET /items-qb",100,3,0.378037,0.384407,0.3284,0.6063,8388608
azera,warm,"GET /items-qb/1",100,3,0.291032,0.394232,0.2832,0.5433,8388608
azera,warm,"POST /items-qb",100,3,2.741631,2.7276683333333,2.6641,2.9745,8388608
azera,warm,"GET /api/items",100,3,0.148477,0.15626033333333,0.1384,0.2303,8388608
azera,warm,"GET /api/items/1",100,3,0.101857,0.10325866666667,0.0904,0.1593,8388608
azera,warm,"POST /api/items",100,3,2.835983,2.8373696666667,2.7154,3.2687,10485760
azera,warm,"GET /features/aop",100,3,2.785194,2.7882446666667,2.6537,4.6058,10485760
azera,warm,"GET /features/cache",100,3,0.041856,0.046234,0.0376,0.0765,10485760
azera,warm,"GET /features/log",100,3,0.044048,0.040573,0.0333,0.0681,10485760
azera,warm,"GET /features/retry",100,3,0.035564,0.036944333333333,0.0333,0.06,10485760
azera,warm,"GET /features/pipeline",100,3,0.043042,0.040782333333333,0.036,0.0671,10485760
azera,warm,"GET /features/db-events",100,3,2.747947,2.7776,2.6586,3.0459,12582912
azera,warm,"GET /features/events",100,3,2.77578,2.770092,2.6595,3.07,12582912
azera,warm,"GET /features/validation",100,3,0.071444,0.069743,0.0574,0.0981,12582912
azera,warm,"GET /features/config",100,3,0.027097,0.028568666666667,0.0265,0.0366,12582912
azera,warm,"GET /features/request-scoped",100,3,0.027716,0.032976,0.0253,0.0559,12582912
azera,warm,"GET /features/rate-limit",100,3,0.036981,0.036205666666667,0.0313,0.0535,12582912
spiral,warm,"GET /",100,3,1.650894,1.647257,1.459,2.441,25165824
spiral,warm,"GET /items",100,3,2.464701,2.546697,2.3842,3.7897,31457280
spiral,warm,"GET /items/1",100,3,1.619419,1.6212043333333,1.4468,2.4105,35651584
spiral,warm,"POST /items",100,3,1.876431,1.896396,1.7228,2.65,35651584
spiral,warm,"GET /items-qb",100,3,1.926536,1.9096076666667,1.7149,2.7974,35651584
spiral,warm,"GET /items-qb/1",100,3,1.783416,1.789253,1.6294,2.4989,41943040
spiral,warm,"POST /items-qb",100,3,1.840028,1.9367293333333,1.6068,2.7512,46137344
spiral,warm,"GET /api/items",100,3,1.456642,1.4696253333333,1.2938,2.1445,46137344
spiral,warm,"GET /api/items/1",100,3,1.260406,1.2625163333333,1.1194,1.9129,46137344
spiral,warm,"POST /api/items",100,3,1.290219,1.3038783333333,1.1748,1.9632,46137344
spiral,warm,"GET /features/aop",100,3,4.812121,4.8148746666667,4.6863,5.6714,52428800
spiral,warm,"GET /features/cache",100,3,1.318314,1.3945973333333,1.1306,1.9797,52428800
spiral,warm,"GET /features/log",100,3,1.228946,1.2467053333333,1.0612,1.9684,52428800
spiral,warm,"GET /features/retry",100,3,2.345543,2.273201,2.0069,3.3525,52428800
spiral,warm,"GET /features/pipeline",100,3,1.255174,1.2631503333333,1.0851,1.8951,52428800
spiral,warm,"GET /features/db-events",100,3,1.287199,1.2730966666667,1.1467,1.8369,52428800
spiral,warm,"GET /features/events",100,3,5.162367,5.2137883333333,5.0208,6.4393,52428800
spiral,warm,"GET /features/validation",100,3,1.316563,1.2933006666667,1.1343,1.9339,52428800
spiral,warm,"GET /features/config",100,3,1.246969,1.2674936666667,1.1344,1.8134,52428800
spiral,warm,"GET /features/request-scoped",100,3,1.337257,1.3375386666667,1.1698,2.0745,52428800
spiral,warm,"GET /features/rate-limit",100,3,1.277495,1.2590836666667,1.1215,1.9511,52428800
