app,mode,request,iterations_per_run,runs,trimmed_mean_ms,mean_ms,median_ms,p95_ms,peak_mem
spiral,warm,"GET /",100,3,1.829788,2.1086013333333,1.7497,3.151,18874368
spiral,warm,"GET /items",100,3,2.387325,2.3556536666667,2.1021,3.4557,25165824
spiral,warm,"GET /items/1",100,3,1.632604,1.6312193333333,1.5137,2.3624,29360128
spiral,warm,"POST /items",100,3,2.311566,2.313859,2.21,3.2967,35651584
spiral,warm,"GET /items-qb",100,3,1.852673,1.8727906666667,1.7174,2.7186,35651584
spiral,warm,"GET /items-qb/1",100,3,1.784916,1.7791646666667,1.6098,2.6236,35651584
spiral,warm,"POST /items-qb",100,3,1.737827,1.8073403333333,1.6068,2.7722,35651584
spiral,warm,"GET /api/items",100,3,1.602747,1.5504116666667,1.4188,2.1906,39845888
spiral,warm,"GET /api/items/1",100,3,1.284155,1.2934196666667,1.1349,1.9498,39845888
spiral,warm,"POST /api/items",100,3,1.300367,1.312614,1.1412,1.9417,39845888
spiral,warm,"GET /features/aop",100,3,4.753419,4.7144116666667,4.5587,5.5416,41943040
spiral,warm,"GET /features/cache",100,3,1.322036,1.266566,1.1117,1.8514,46137344
spiral,warm,"GET /features/log",100,3,1.315945,1.33678,1.2018,1.9049,46137344
spiral,warm,"GET /features/retry",100,3,2.129035,2.1191976666667,1.8973,3.1301,46137344
spiral,warm,"GET /features/pipeline",100,3,1.362751,1.44049,1.2567,2.2361,46137344
spiral,warm,"GET /features/db-events",100,3,1.278513,1.2926733333333,1.1482,1.9924,46137344
spiral,warm,"GET /features/events",100,3,5.065687,5.1255453333333,4.9328,6.3986,46137344
spiral,warm,"GET /features/validation",100,3,1.3316,1.310617,1.1934,1.8742,46137344
spiral,warm,"GET /features/config",100,3,1.286067,1.2632196666667,1.1079,1.9552,46137344
spiral,warm,"GET /features/request-scoped",100,3,1.339354,1.391249,1.1883,1.9987,46137344
spiral,warm,"GET /features/rate-limit",100,3,1.306458,1.3079806666667,1.1553,1.9419,46137344
